,proposition
29,"Nous encouragerons les projets de méthanisation en maintenant des aides, en engageant une simplification administrative et en accélérant le raccordement au réseau électrique des unités."
30,"Nous soutiendrons l’innovation et la recherche à travers plusieurs actions : fin des zones sans réseau téléphonique, développement du numérique et de l’agriculture de précision, mise en place d’un portail des données agricoles pour stimuler une innovation décentralisée, ouverte, collaborative au service des agriculteurs."
31,Nous encouragerons la diversification des sources de revenus en soutenant par exemple l’agro-tourisme.
32,"Nous rémunérerons les agriculteurs pour les services environnementaux  (entretien des paysages, pâturage des alpages qui réduisent les avalanches, etc.) qu’ils rendent, à hauteur de 200 millions d’euros par an dans le cadre de la PAC."
33,"Dans le cadre du Grenelle de l’alimentation, nous définirons également un calendrier prévoyant l’élimination progressive des pesticides en commençant par ceux qui présentent un risque pour la biodiversité ou la santé, et le développement d’alternatives."
34,"Dès le début du quinquennat, nous séparerons les activités de conseil aux agriculteurs et de vente des pesticides qui peuvent susciter des conflits d’intérêt."
35,Nous renforcerons la transparence des transactions agricoles en soumettant toutes les sociétés foncières au contrôle des SAFER.
36,"Nous assurerons le financement du foncier et du capital d’exploitation en facilitant le recours à des outils de portage : le crédit-bail immobilier, la location-vente progressive, prêt viager hypothécaire etc."
37,"Nous soutiendrons l’installation des jeunes agriculteurs : en plus de la dotation jeunes agriculteurs (DJA), nous permettrons un prêt d'honneur à la personne sans demande de garantie d’un montant de 50 000 euros maximum avec un différé de 2 ans."
38,Nous allègerons les charges.
39,Nous lancerons un plan de transformation agricole de 5 milliards d’euros sur 5 ans. Les financements seront réservés à :
40,Nous ferons confiance aux territoires pour s’organiser et trouver des solutions adaptées.
41,100% des enfants auront accès aux actions d’éducation artistique et culturelle.
42,Ouvrir les bibliothèques le soir et le dimanche.
43,"Créer un Pass Culture de 500 € pour tous les jeunes de 18 ans, qui leur permettra, via une application, d’accéder aux activités culturelles de leur choix : musée, théâtre, cinéma, concert, livres ou musique enregistrée. Il sera cofinancé par les distributeurs et les grandes plateformes numériques, qui bénéficieront du dispositif."
44,Professionnaliser et ouvrir les nominations dans le secteur culturel afin qu’elles reflètent la diversité de la société.
45,"Maintenir l’effort financier de l’État en faveur de la culture, en contrepartie d’une exigence d’efficacité : toutes les politiques publiques en faveur de la culture seront évaluées."
46,Regrouper les forces à l’international.
47,Favoriser la diffusion du spectacle vivant notamment en multipliant les spectacles coproduits et adapter le soutien au cinéma et à l’audiovisuel aux nouveaux formats.
48,"Pérenniser et adapter le statut d’intermittent du spectacle, qui est un outil au service de la politique culturelle ; revoir la formation initiale des artistes par l’interdisciplinarité, les troncs communs entre écoles d’art, la mobilité internationale."
49,Investir dans les industries créatives et culturelles françaises en créant un fonds d’investissement dédié de 200 millions d’euros.
50,"Lancer un Erasmus des professionnels de la culture pour favoriser la circulation des artistes, des commissaires d’exposition et des conservateurs."
51,Généraliser le Pass Culture au niveau européen.
52,Créer les conditions de l’émergence d’un « Netflix européen » exposant le meilleur du cinéma et des séries européennes
53,"Rétablir une concurrence équitable avec les grands acteurs numériques pour qu’ils payent leurs impôts comme tous les autres acteurs économiques et qu’ils soient soumis aux mêmes obligations, dans les pays où les œuvres sont diffusées."
54,"Défendre résolument les droits d’auteur, aider les artistes et les éditeurs de contenu européens par la négociation encadrée d’accords sur leur rémunération, étendre les droits voisins aux éditeurs de presse et renforcer l’action contre les sites pirates."
55,"Rénover et mieux valoriser le patrimoine grâce à une dotation dont l’utilisation sera conditionnée à des projets éducatifs, artistiques ou touristiques."
56,"Créer un nouveau statut de l’entreprise de presse, sur le modèle des trusts anglo-saxons pour garantir l’indépendance éditoriale et journalistique."
57,"Simplifier la réglementation audiovisuelle en matière de publicité, de financement et de diffusion, pour lever les freins à la croissance de la production et de la diffusion audiovisuelles et préparer le basculement numérique, tout en préservant la diversité culturelle."
58,"Nous renforcerons le secteur public de l’audiovisuel pour qu’il réponde aux attentes de tous les Français et accélère sa transformation numérique, en concentrant les moyens sur des chaînes moins nombreuses mais pleinement dédiées à leur mission de service public."
59,"Nous rapprochons les sociétés audiovisuelles publiques pour une plus grande efficacité et une meilleure adéquation entre le périmètre des chaînes et leurs missions de service public. Leurs conseils d’administration seront plus indépendants et plus ouverts dans sa composition. Ils seront chargés de designer les dirigeants, après appel public à candidatures."
60,"Nous porterons progressivement le budget de la défense à 2% du PIB en 2025. Cet effort est nécessaire, pour faire face au renforcement des effectifs post-attentats et pour moderniser nos équipements, mobilisés sur plusieurs fronts."
61,"Nous engagerons la modernisation de la force de dissuasion nucléaire, garante de la sécurité de la France. Cet effort concernera ses composantes sous-marines et aéroportées."
62,"Nous continuerons de renouveler les équipements conventionnels pour permettre la préservation de notre autonomie, de notre efficacité et de la sécurité de nos soldats. L’ensemble des forces est concerné : drones et satellites pour le renseignement, avions de transport, patrouilleurs maritimes, véhicules de combat."
63,"Nous maintiendrons la force opérationnelle terrestre à 77.000 hommes, effectifs nécessaires pour maintenir le niveau d’engagement actuel de nos troupes, tout en leur laissant le temps nécessaire pour s’entraîner et se reposer."
64,"Nous renforcerons la priorité en matière de cyberdéfense et de cybersécurité. Nous l’avons vu lors des élections américaines, Internet est un nouveau terrain d’opération des conflits et des tensions. Il en va de notre souveraineté."
65,Nous développerons (vraiment) l’Europe de la défense.
66,Nous activerons les « groupements tactiques ».
67,"Nous soutiendrons la création d’un Fonds européen de défense, pour financer des programmes communs, tel un drone européen."
68,"Nous ferons décroître progressivement l’opération Sentinelle, en fonction de l’évolution de la menace terroriste."
69,Nous revitaliserons la réserve opérationnelle et la garde nationale.
70,"Nous réduirons la pauvreté des personnes âgées. Le minimum vieillesse, pour une personne seule, est aujourd'hui d'environ 800 euros : nous le porterons au-delà de 900 euros."
71,"Nous créerons un service sanitaire de 3 mois pour tous les étudiants en santé : dans ce cadre, 40 000 d’entre eux interviendront pour des actions de prévention, et notamment pour des actions de prévention de la dépendance."
72,Nous ferons évoluer la rémunération des médecins en ville afin de mieux valoriser les actions de prévention de la dépendance.
73,"Nous développerons et soutiendrons les soins à domicile (ménagers, infirmiers)."
74,Nous faciliterons le retour à domicile des personnes en situation de perte d’autonomie via différents dispositifs.
75,Nous soutiendrons et développerons les solutions d’hospitalisation à domicile et de maintien à domicile pour éviter les hospitalisations inutiles et favoriser le confort des patients les plus fragiles.
76,"Nous relancerons le recensement des logements accessibles et/ou adaptés, réalisé à l’initiative des communes."
77,"Nous encouragerons toutes les formes d’habitat inclusif et partagé, et en particulier l’hébergement intergénérationnel."
78,"Nous encouragerons les réseaux d’aide à la personne (associations où coopèrent médecins, professions para-médicales, services sociaux) et accélérerons le décloisonnement entre la ville et l’hôpital d’une part, et les secteurs sanitaire et social d’autre part."
79,Nous permettrons aux aidants de mieux se former ou d’être accompagnés.
80,Nous faciliterons les démarches administratives que réalisent les aidants pour leurs aînés.
81,Nous permettrons le don de RTT entre collègues pour les aidants dans les entreprises.
82,"Nous favoriserons la création d’hébergements temporaires pour « aider les aidants » et nous encouragerons le « baluchonnage », c’est à dire l’intervention d’une tierce personne au sein du domicile des personnes âgées."
83,Nous instaurerons des enquêtes de satisfaction systématiques dans les établissements médico-sociaux.
84,Nous simplifierons et élargirons le droit actuel pour déployer plus facilement des expérimentations et les solutions de santé connectée.
85,"Nous encouragerons les solutions de télémédecine dans les EPHAD, les maisons de santé et les centres gériatriques afin d’assurer un suivi médical pertinent aux personnes en situation de perte d’autonomie sur l’ensemble du territoire."
86,"Nous travaillerons à la structuration du secteur de l’aide à domicile et, en lien avec la Banque Publique d’Investissement, au développement de la « Silver Economie »."
87,Nous permettrons de négocier au plus près du terrain.
88,Une démarche volontariste sera engagée pour réduire fortement le nombre de branches : nous pouvons viser d’en avoir entre 50 et 100.
89,Nous simplifierons les instances de représentation du personnel pour un dialogue social plus efficace et rendre le passage des seuils plus souple.
90,Nous renforcerons la formation des représentants des salariés.
91,Nous permettrons à chaque salarié d’apporter des ressources financées par l’employeur au syndicat de son choix.
92,"Nous encouragerons l’engagement syndical, la reconnaissance de celui-ci dans les carrières au sein des entreprises et nous lutterons contre la discrimination syndicale."
93,Nous maintiendrons un rythme élevé de création de places en crèche.
94,"Pour que les familles soient à égalité face aux modes de garde des enfants et empêcher les passe-droits, nous obligerons les communes à publier en ligne leurs critères d’attribution des places de crèche, puis à mettre en place systématiquement un système de cotation des demandes."
95,Nous orienterons progressivement les critères d’attribution vers des règles plus équitables et modulerons les financements nationaux selon le poids accordé par la commune aux critères sociaux.
96,"Nous diviserons par deux les effectifs des classes de CP et de CE1 en REP et REP+, mesure la plus importante prise en faveur de l’éducation prioritaire depuis la création des ZEP en 1981."
97,"Nous introduirons, au début de chaque année, des bilans personnalisés, de la classe de grande section à la troisième, afin que les enseignants disposent d’une base fiable et utile pour mesurer les progrès de chaque élève, et qu’ils choisissent les meilleurs outils pour un enseignement adapté aux besoins de chacun."
98,Nous renforcerons l’individualisation des apprentissages en développant des supports numériques et des applications adaptées pour faire évoluer les pratiques pédagogiques ; les enseignants seront formés à cette fin.
99,"Nous lutterons contre la déperdition des savoirs scolaires en proposant des stages de remise à niveau en fin d’été entre le CP et le CM2. Ils seront assurés par des enseignants volontaires, qui seront rémunérés à ce titre."
100,Nous proposerons à tous un accompagnement après la classe.
101,"Nous proposerons, comme en primaire, des stages de remise à niveau pour les collégiens les plus en difficulté."
102,Nous remettrons des études dirigées partout dans les établissements.
103,"Nous formerons, sur la durée du quinquennat, 1 million de jeunes aujourd’hui sans qualification ni activité."
104,Nous ferons un effort massif pour l'apprentissage.
105,Nous n’affecterons plus aucun professeur (hors choix motivé) en zone prioritaire pendant ses 3 premières années d’enseignement.
106,Nous reconnaîtrons mieux l’engagement et la contribution des enseignants exerçant en REP+ (zones prioritaires).
107,Nous étendrons la formation en alternance dès la licence pour les étudiants qui se destinent aux métiers de l’enseignement.
108,Nous placerons une formation ambitieuse au cœur du système éducatif.
109,"Nous donnerons l’initiative aux établissements. Concrètement, cela signifiera :"
110,Nous accompagnerons l’autonomie des établissements de diagnostics réguliers et si besoin de mesures d’accompagnement spécifiques.
111,"Nous favoriserons un lien de confiance renouvelé par une place plus grande donnée à l’échange avec les parents, en généralisant notamment l’expérience de la « mallette des parents »."
112,"Nous mobiliserons, en maternelle, des jeunes engagés dans le cadre du service civique, afin d’appuyer les professeurs, particulièrement pour la maîtrise du langage."
113,"Contre toutes les attaques qu’il subit, nous défendrons le droit à l’interruption volontaire de grossesse (IVG)."
114,"Pour que les couples soient à égalité face aux modes de garde des enfants et empêcher les passe-droits, nous obligerons les communes à publier en ligne leurs critères d’attribution des places de crèche, puis à mettre en place systématiquement un système de cotation des demandes. Dans le même temps, nous soutiendrons l’effort massif de construction de places de crèche."
115,"Pour que les femmes soient à égalité face au congé maternité, nous créerons un congé de maternité unique garanti pour toutes les femmes quel que soit leur statut (salariée, entrepreneuse, intermittente, non-salariée, statut multiple, etc.) aligné sur le régime le plus avantageux."
116,"Parce que l’impôt ne doit pas décourager le travail des femmes, nous créerons une option d’individualisation de l’impôt sur le revenu."
117,"Pour accélérer l’égalité professionnelle et salariale dans les grandes entreprises, le Défenseur des Droits aura pour mission de favoriser les opérations de contrôle aléatoires et imprévus à grande échelle sur les politiques salariales et de ressources humaines, et de rendre publics les résultats."
118,Nous mettrons en œuvre la parité dans les nominations des grands postes de l’Etat (agences et directeurs d’administration).
119,Nous lancerons dès la première année du quinquennat une campagne nationale de communication et de sensibilisation sur le sujet du harcèlement et des violences faites aux femmes.
120,Nous augmenterons le montant des amendes pour incivilité pour qu’enfin le harcèlement ne soit plus toléré dans l’espace public. Elles seront exigées immédiatement.
121,"Nous accélérerons la généralisation du téléphone d’alerte pour secourir plus rapidement les victimes de violence. Ce dispositif, expérimenté dans plusieurs départements, a déjà sauvé des vies."
122,"Nous mettrons en place une assurance-chômage pour tous, parce que dans un monde qui se transforme, le chômage ne peut plus être un risque contre lequel certains se couvrent à titre individuel, et d’autres par des garanties collectives."
123,Nous ouvrirons les droits à l'assurance-chômage aux salariés qui démissionnent.
124,"La contrepartie de ces droits nouveaux sera un contrôle accru de la recherche d’emploi, pour lequel les moyens de Pôle Emploi seront renforcés et les sanctions rendues justes et crédibles. À l'arrivée à Pôle Emploi, un bilan de compétence sera réalisé dans les 15 jours. Si plus de deux emplois décents, selon des critères de salaire et de qualification, sont refusés ou que l'intensité de la recherche d'emploi est insuffisante, alors les allocations seront suspendues."
125,"Parce que tous seront désormais couverts quel que soit leur statut, l’État prendra en charge le pilotage du système d’assurance-chômage. Il y associera l’ensemble des parties prenantes, et en particulier les partenaires sociaux."
126,"La majeure partie des contributions actuelles des entreprises pour la formation sera progressivement convertie en droits individuels pour les actifs. Chacun pourra s’adresser directement aux prestataires de formation, selon ses besoins. Le système sera simple."
127,Les droits seront d’autant plus élevés que les besoins de qualification sont importants. Le système sera juste.
128,"Chacun disposera d’une information complète sur les résultats concrets de chaque formation, de chaque accompagnement (retour à l’emploi, impact sur la trajectoire salariale…) car tous les organismes seront obligés de se soumettre à une labellisation et d’afficher leurs performances : plus personne ne s’engagera dans une formation sans savoir à quoi elle mène ni quelle est sa qualité. Le système sera transparent."
129,Nous investirons massivement dans l’acquisition des compétences.
130,"Nous soutiendrons la constitution d’universités de niveau mondial, sur la base de regroupements volontaires d’universités et de grandes écoles avec le soutien des organismes de recherche."
131,Nous allouerons des moyens supplémentaires au financement de projets en priorité.
132,Nous ferons de la France le leader mondial de la recherche sur le réchauffement climatique et la transition environnementale.
133,"Nous donnerons aux universités la possibilité de déployer librement leur offre de formation, à condition d’offrir une palette suffisamment large de filières et d’orientations et de favoriser les aménagements de cursus aux étudiants en stage, en alternance ou en activité professionnelle."
134,Nous donnerons aux universités et aux grandes écoles la liberté de recruter eux-mêmes leurs enseignants-chercheurs suivant les standards internationaux de qualité et d’indépendance.
135,De nouveaux modèles de gouvernance pour les universités seront développés.
136,Le recrutement des dirigeants des organismes de recherche et des grandes universités se fera suivant les normes internationales.
137,"Nous simplifierons les procédures d’évaluation des établissements en les consacrant exclusivement à l’appréciation du bilan et des résultats des établissements, des unités de recherche et des formations."
138,Tous les étudiants pourront désormais réellement évaluer leurs cours à la fin du semestre.
139,Nous sanctuariserons le budget de l’enseignement supérieur et de la recherche.
140,Nous attribuerons des moyens publics supplémentaires aux établissements d’enseignement supérieur et de recherche sur des bases contractuelles.
141,Nous permettrons aux universités et aux grandes écoles de diversifier leurs sources de financement.
142,Nous mobiliserons les bailleurs sociaux pour créer au sein du parc social des « logements jeunes » (objectif : 30 000 supplémentaires).
143,Nous construirons 80 000 logements pour les jeunes : 60 000 logements pour les étudiants et 20 000 logements pour les jeunes actifs.
144,"Nous inciterons les universités à élargir les horaires d’ouverture de leurs bibliothèques, à aménager des plages horaires en soirée durant la semaine, et à étendre progressivement l’ouverture le dimanche."
145,"Nous établirons un système d’aide plus progressif et plus juste, et nous réinstaurerons les bourses au mérite pour les étudiants titulaires d’une mention ""Très Bien"" au baccalauréat."
146,"Pour éclairer nos étudiants sur leur choix d’orientation, nous exigerons que chaque établissement de l'enseignement supérieur publie en toute transparence les taux de réussite et les débouchés professionnels, par formation, de ses anciens étudiants."
147,Chaque université affichera les prérequis de chacune des formations qu’elle propose.
148,Nous garantirons une meilleure transition de l'enseignement secondaire vers le supérieur.
149,"Pour enrayer la sélection par l’échec, nous créerons des formations avec un véritable accompagnement pédagogique personnalisé, comportant des passerelles vers les filières plus spécialisées ou plus exigeantes."
150,"Nous développerons la formation universitaire continue pour favoriser, tout au long de la vie, les mobilités professionnelles et les reconversions."
151,"Nous revaloriserons la formation professionnelle via la création de 100 000 places supplémentaires dans de nouvelles filières courtes professionnalisantes proposées par les lycées, les universités, les établissements consulaires en lien avec les branches professionnelles."
152,"Nous supprimerons la caisse qui gère le Régime Social des Indépendants (RSI) pour l’adosser au régime général, afin que tous bénéficient de la même qualité de service et des mêmes droits. Nous réduirons nettement les charges qui pèsent sur les indépendants (professions libérales, commerçants, artisans, agriculteurs…)"
153,Nous ouvrirons des droits à l’assurance-chômage aux indépendants et aux entrepreneurs afin qu’ils puissent bénéficier des mêmes droits au chômage que les salariés si leur aventure entrepreneuriale ne s’avère pas couronnée de succès.
154,"Nous supprimerons les charges des microentreprises (auto-entrepreneurs) la première année et doublerons les plafonds pour permettre à plus d’entreprises de bénéficier de cette mesure et du régime fiscal de la microentreprise. Nous permettrons chaque année à tous les artisans et commerçants d’opter ou non, selon leurs besoins, pour le régime fiscal de la microentreprise."
155,"Nous refonderons l’action de l’administration pour la mettre au service des entreprises et l’inciter à produire des règles simples et stables. Cela se traduira notamment par la création d’un droit à l’erreur. L’administration sera d’abord là pour conseiller avant de sanctionner, la sanction étant limitée aux manquements délibérés, répétés ou particulièrement graves."
156,"Nous créerons un code du travail digital pour mieux accompagner les PME dans les décisions qu’elles prennent. Parce que la réglementation du travail est souvent trop complexe, un site donnera accès aux PME aux obligations légales et conventionnelles à respecter, ainsi qu’à des conseils fournis par l’administration. Les réponses fournies en ligne pourront être valables auprès de cette dernière."
157,"Nous développerons les instruments permettant d’accompagner et d’aider les TPE/PME dans les principales étapes de la gestion de leurs ressources humaines comme, par exemple, pour faire face à leurs premiers recrutements, s’acquitter de l’obligation de mettre en place un entretien professionnel ou pour leur permettre d’accéder à la formation professionnelle à laquelle elles ont droit pour leurs salariés. Cette offre de service d’information, de conseil et d’accompagnement permettra d’assurer l’effectivité des mesures prises plus efficacement que par la sanction."
158,"Nous instaurerons un plafond et un plancher pour les indemnités prud’homales pour licenciement sans cause réelle et sérieuse (hormis les cas de discrimination, de harcèlement, etc.). Le plancher permettra de protéger les droits des salariés. Le plafond donnera aux entreprises une visibilité et une assurance qui permettront de lever les freins à l’embauche en CDI."
159,Nous poursuivrons les efforts de simplification dans l’accès à la commande publique.
160,"L’Impôt de Solidarité sur la Fortune ne concernera plus l’investissement qui sert l’économie (actions, parts, titres d’entreprises). Il sera remplacé par un Impôt sur la Fortune Immobilière, qui reposera uniquement sur les biens immobiliers, dans les mêmes conditions que l’ISF aujourd’hui."
161,"Un prélèvement forfaitaire unique (PFU) de l’ordre de 30% sera appliqué à l’ensemble des revenus tirés du capital mobilier (intérêts, dividendes, plus-values mobilières etc.). Il simplifiera considérablement le choix des investisseurs qui se détermineront uniquement en fonction du rendement, du risque et des frais associés à chaque produit, avec plus de transparence, et non plus en fonction d’incitations fiscales et réglementaires. Il évitera des impositions marginales excessives, qui peuvent décourager l’investissement."
162,Nous constituerons un Fonds pour l’industrie et l’innovation. Il sera doté de 10 milliards d’euros issus des actions d’entreprises possédées de manière minoritaire par l’Etat et sera placé au service de notre industrie et de l’innovation. Nous mobiliserons les revenus issus de ces participations pour financer l’industrie du futur.
163,"Nous amplifierons encore les efforts en matière de réduction des délais de paiement, en renforçant notamment les obligations en la matière des collectivités publiques et dissuaderons les mauvais payeurs par une action ferme de l’Etat."
164,Nous réduirons le taux d’IS jusqu’à la moyenne européenne de 25%.
165,"Nous faciliterons l’embauche des salariés peu qualifiés, en atteignant zéro charges générales au niveau du SMIC."
166,Nous défendrons l’instauration d’un contrôle européen sur les investissements étrangers afin de défendre ensemble nos entreprises stratégiques.
167,Nous défendrons le renforcement des procédures européennes anti-dumping afin de pouvoir agir plus rapidement et de manière plus dissuasive.
168,Nous défendrons un Buy European Act permettant de réserver l’accès aux marchés publics européens aux entreprises qui localisent au moins la moitié de leur production en Europe.
169,"Nous défendrons, au niveau européen, une taxe sur le chiffre d’affaires réalisé dans nos pays pour des prestations de service électronique. Cela éliminera ainsi les montages consistant à rapatrier les profits dans des paradis fiscaux."
170,Nous devrons prendre des sanctions commerciales contre les pays qui ne respectent pas les clauses sociales et environnementales des accords commerciaux conclus avec l’Union européenne. Un procureur commercial garantira la rapidité de ces mesures.
171,"Nous augmenterons le salaire net de chacun, en supprimant les cotisations chômage et maladie. Grâce à cette mesure, financée par une hausse de la CSG, tous les salariés verront leur salaire augmenter. Par exemple, si l’on gagne 2200 euros nets par mois, ce sera 500 euros nets supplémentaires par an. Les fonctionnaires bénéficieront d’une mesure équivalente."
172,"Nous permettrons de négocier au plus près du terrain. Le Code du travail définit un socle de droits et de règles (durée légale du travail, salaire minimum, égalité professionnelle...), qui continuera de s’imposer aux entreprises. Au-delà, la primauté sera donnée aux accords d'entreprise sur les accords de branche."
173,Une démarche volontariste sera engagée pour réduire fortement le nombre de branches à celles qui pourront pleinement participer à une politique de filière au-delà des métiers et des secteurs : nous pouvons viser d'en avoir entre cinquante et cent.
174,Nous simplifierons les instances de représentation du personnel pour un dialogue social plus efficace.
175,Nous renforcerons la formation des représentants des salariés.
176,Nous permettrons à chaque salarié d’apporter des ressources financées par l’employeur au syndicat de son choix.
177,Nous fermerons les centrales à charbon restantes en 5 ans.
178,"En cohérence avec l’accord de Paris, nous interdirons l’exploration des gaz de schiste et ne délivrerons aucun nouveau permis d’exploration d’hydrocarbures."
179,"Nous intégrerons le coût écologique dans le prix du carbone, en faisant monter en puissance la taxe carbone pour atteindre 100 €/tCO2 en 2030."
180,"Nous financerons le développement des énergies renouvelables : d’ici à 2022, nous avons pour objectif de doubler la capacité en éolien et en solaire photovoltaïque."
181,"Nous en finirons avec les procédures qui s’empilent, en raccourcissant et en simplifiant les procédures de déploiement des énergies renouvelables."
182,"Nous focaliserons les efforts de recherche, de développement et d’investissement des opérateurs sur le stockage de l’énergie et les réseaux électriques intelligents."
183,"Parce que nous savons aujourd’hui ne pas disposer de tous les éléments de connaissance nécessaires, nous prendrons nos décisions stratégiques une fois que l’Autorité de Sûreté Nucléaire (ASN) aura rendu ses conclusions, attendues pour 2018, sur la prolongation des centrales au-delà de 40 ans."
184,La fermeture de la centrale de Fessenheim sera confirmée. Elle interviendra au moment de la mise en service de l'EPR de Flamanville.
185,Les moyens de l'ASN seront consolidés.
186,Nous renforcerons la lutte contre l’obsolescence programmée en renforçant l’affichage de la durée de vie des appareils électroménagers.
187,"Nous visons « 100% de plastique recyclé sur tout le territoire » d’ici 2025, grâce à la modernisation des centres de tri  par l’augmentation progressive de la taxe générale sur les activités polluantes (sur l’incinération et l’enfouissement)."
188,Les industriels devront faire figurer sur les emballages des indications très simples pour faciliter le tri et en faire un réflexe pour chaque Français.
189,"Nous étendrons le système de bonus-malus sur l’éco-contribution, pour favoriser les produits durables, tout en pénalisant les produits néfastes pour l’environnement."
190,Nous généraliserons les engagements volontaires de lutte et lancerons de nouvelles initiatives contre le gaspillage alimentaire avec les fédérations professionnelles concernées.
191,Nous mènerons une campagne de mobilisation de même ampleur que le plan cancer afin de sensibiliser les Français et d'inciter à des nouvelles pratiques de consommation.
192,"Pour réduire massivement la pollution liée aux particules fines, la fiscalité du diesel sera alignée sur celle de l’essence  pendant le quinquennat."
193,Nous pèserons pour renforcer les normes anti-pollution européennes pour les véhicules neufs et les contrôles en conditions réelles (en tirant les enseignements du scandale Volkswagen).
194,"D’ici à 2022, l’ensemble de la restauration collective –  les cantines des écoles et les restaurants d’entreprise – devra proposer au moins 50% de produits biologiques, labels de qualité, ou local."
195,"Nous réunirons tous les acteurs de la filière alimentaire afin d'élaborer un agenda des solutions pour l'alimentation, dans le cadre d’un “Grenelle de l’alimentation”."
196,"Dès le début du quinquennat, nous séparerons les activités de conseil aux agriculteurs et de vente des pesticides qui peuvent susciter des conflits d’intérêt."
197,Nous interviendrons avec fermeté au niveau européen pour revoir totalement les méthodes d’évaluation des produits.
198,Nous promouvrons la position de la France comme leader dans la recherche sur l'impact de ces substances et sur nos capacités à les remplacer.
199,Nous rendrons plus transparente la rémunération des experts.
200,"L'Etat interdira au plus vite les perturbateurs endocriniens repérés comme ayant des impacts sanitaires avérés ou probables, dès lors qu'il existe des solutions scientifiquement reconnues comme moins toxiques."
201,"Nous mettrons en place un site national d'information des Français sur ces perturbateurs, particulièrement pour les produits commercialisés à destination des enfants et des femmes enceintes."
202,"L’Etat soutiendra les régions. Il leur accordera des fonds, en contrepartie de leur engagement à :"
203,"Nous lancerons un grand plan de rénovation des bâtiments publics, de l'Etat et des collectivités locales pour 4 milliards d’euros."
204,Nous accélérerons le déploiement des véhicules électriques en maintenant le bonus-malus à l'achat et en accélérant le déploiement des bornes de recharge.
