,titre,contenu
33,Un plan national Zéro Déchet,"Je lancerai un plan « Zéro Déchet » qui comprendra un volet de lutte contre le gaspillage alimentaire, l’obligation pour les métropoles de recycler 50% de leurs déchets produits chaque année à l’horizon 2022 et le combat contre l’obsolescence programmée via une incitation à réutiliser les matériaux et à faire de l’éco-conception."
34,Droit universel à la formation tout au long de la vie,"Je donnerai corps à un droit universel à la formation tout au long de la vie. Cela passe par un rapprochement entre la formation continue et la formation initiale ainsi que par une meilleure prise en compte des certifications et qualifications obtenues à l’issue des formations. Les universités et écoles seront amenées à devenir les principaux acteurs de la formation continue, ce qui suppose d’investir dans l’ingénierie pédagogique et dans la promotion de cette offre nouvelle."
35,Droit de veto des salarié.e.s en comité d’entreprise,"Je créerai un droit de veto pour les représentant.e.s des salarié.e.s élus au comité d’entreprise sur les grands choix stratégiques dans les entreprises de plus de 2000 salarié.e.s. Ce veto pourra porter sur les choix de l’entreprise en termes de délocalisation, de digitalisation, d’utilisation des fonds publics (CICE, CIR), de robotisation ou de fermeture d’usine."
36,Du temps et des moyens pour chacun de s’engager,Je développerai les modalités de partage du temps de travail qui donneront du temps aux travailleurs de s’engager au service du collectif et de leur émancipation. Le Revenu Universel protègera de la précarité celles et ceux qui s’engagent. J’inclurai le temps consacré aux engagements associatifs dans le calcul des droits à la retraite. Je créerai une protection pour ceux qui consacrent une partie de vie à servir leur pays dans le cadre d’un mandat d’élu afin qu’ils puissent retrouver leur emploi de droit à l’issue.
37,Renforcement de la loi SRU sur le logement social,"Je renforcerai les sanctions à l’encontre des communes qui ne respectent pas la loi en matière de mise à disposition de logements sociaux afin qu’elles soient véritablement dissuasives. Il n’est plus acceptable qu’on laisse des communes payer des sanctions plutôt que remplir leurs obligations en faveur de la mixité sociale et du logement pour tous. Je créerai un droit de l’Etat à se substituer aux maires pour construire, le cas échéant, des biens d’utilité publique à commencer par les logements sociaux."
38,Une réforme fiscale pour rétablir justice et équité,"Je mènerai une véritable révolution fiscale. J’organiserai une refonte de l’impôt sur le revenu, devenu complexe, illisible et régressif. Je l’individualiserai, élargirai son assiette par la fusion avec la CSG, et le rendrai plus progressif par une augmentation du nombre de tranches."
39,Une aide au développement à la hauteur de nos moyens,"Je rétablirai l’aide au développement à la hauteur de nos moyens et de notre responsabilité en fixant par la loi que ce budget ne peut être en deçà de 0,7% du Revenu National Brut, comme au Royaume-Uni. J’établirai des partenariats équitables principalement avec les pays d’Afrique."
40,Elimination des obstacles à l’intégration des réfugiés,"Je lèverai les obstacles actuels à l’intégration des demandeurs d’asile qui font les frais d’un système absurde : tout en leur versant une allocation d’insertion, nous les maintenons à l’écart de la société et les empêchons de contribuer à créer des richesses dans nos territoires. Je donnerai aux demandeurs d’asile une autorisation de travailler après trois mois de présence sur le territoire et renforcerai les moyens affectés à l’accès à l’apprentissage de la langue française."
41,Equité des aides à l’accès aux complémentaires santé,"Je porterai un droit à la santé universel, indépendamment du statut professionnel ou personnel de chacun.e. Je modifierai la répartition de l’aide à l’accès aux complémentaires santé : les 8 milliards d’euros d’aides publiques actuelles (ANI et avantages Madelin) doivent aussi toucher les fonctionnaires, les retraité.e.s, les étudiant.e.s et les chômeurs.euses de longue durée. J’affecterai une partie de ces aides au financement de la Sécurité sociale, après que la mise en place du Revenu universel a mis fin à ces inégalités."
42,Grande conférence contre l’exclusion,"Dès 2017, j’ouvrirai une grande conférence des acteurs de la lutte contre l’exclusion pour sélectionner et généraliser les démarches d’accompagnement qui ont fait leurs preuves, grâce à un soutien massif de l’Etat. Tout passage à la rue laisse des traces, parfois pour toute la vie. Notre responsabilité collective est non seulement de prévenir cette souffrance par l’amélioration de l’accès aux droits, mais aussi de réparer et de faire cesser ces situations intolérables qui continuent de frapper des milliers de nos concitoyens."
43,Modification des règles de Dublin sur le droit d’asile,"Je mettrai fin aux règles absurdes de Dublin qui font reposer le poids de l’accueil des réfugiés sur les pays aux frontières de l’Europe, l’Italie et la Grèce, qui sont déjà en situation d’asphyxie budgétaire face aux politiques d’austérité qui leur sont imposées. J’établirai une clé de répartition de l’accueil des demandeurs d’asile entre les pays membres de l’UE en imposant la participation de tous les Etats membres en fonction de leur capacité."
44,Moratoire sur le Pacte de stabilité,"Je forgerai une alliance interétatique, politique et sociétale pour imposer un moratoire sur le Pacte de stabilité et le TSCG. L’austérité est inefficace et contribue à augmenter la dette. Ce moratoire durera jusqu’à l’approbation d’un pacte de stabilité réformé. Ce nouveau traité exclura les dépenses d’investissement du calcul du déficit et introduira une logique de coordination et de coopération entre Etats pour tenir compte du cycle économique."
45,Un Acte II de l’Economie Sociale et Solidaire,"Je lancerai un acte II de l’économie sociale et solidaire pour qu’elle atteigne 20% du PIB en 2025, contre 10% aujourd’hui. Je soutiendrai la création d’emplois de qualité dans l’ESS en ciblant une partie des aides actuellement réservées aux entreprises classiques sur ce secteur d’avenir. J’améliorerai la formation des enseignant.e.s sur l’ESS et promouvrai sa prise en compte par les académies et dans les programmes SES. Je renforcerai les formations initiales et continues qui donnent des clés pour y entreprendre."
46,Un Etat stratège pour la révolution énergétique,"Je redonnerai une vision stratégique à l’Etat en faisant d’EDF un pilier de la transition énergétique. En tant qu’actionnaire principal, l’Etat poussera EDF à renforcer ses recherches sur la production et le stockage d’énergies renouvelables. Plutôt que de privilégier le nucléaire, EDF accompagnera la décentralisation de la production d’énergies vertes."
47,Légalisation du cannabis et prévention,"Je légaliserai le cannabis et j’encadrerai sa distribution. Il faut tuer les trafics à la source et protéger nos citoyens des pratiques des dealers. J’utiliserai les 568 millions d’euros annuels utilisés pour la répression à des fins de prévention et d’information sur les risques associés à cette consommation. Plus que jamais, la prévention doit être au coeur de notre politique de santé publique. Nous devons investir tous les relais possibles pour faire connaître à la population les risques associés à la consommation de drogues."
48,Prévention contre l’alcool et le tabac,"Je mettrai l’accent sur la prévention pour réduire la consommation d’alcool par un contrôle renforcé du respect de la réglementation dans les grandes surfaces pour les mineurs, mais aussi en facilitant la procédure pour les controles d’alcoolémie au volant. La réduction de la consommation de tabac sera mon deuxième objectif : pour cela, j’autoriserai aux policiers municipaux de contrôler le respect de la réglementation pour les mineurs."
49,Reconnaissance de l’engagement des jeunes,"J’assurerai à tous les jeunes une véritable reconnaissance de leur engagement. Je proposerai à tou.te.s les élèves des collèges et lycées de rencontrer des entrepreneurs sociaux, des dirigeants ou des bénévoles associatifs et de faire un service civique au cours de leur cursus. Je rendrai possible la validation du premier semestre de l’université avec l’expérience d’un service civique ou d’une expérience longue de bénévolat. Je permettrai aux jeunes de certifier leur engagement associatif afin qu’ils puissent le valoriser sur leur CV."
50,Création d’un service public de la petite enfance,"Je souhaite que les jeunes parents, et notamment les mères isolées, puissent bénéficier d’un service public de garde d’enfants en cas d’horaires décalés. Ce nouveau service public de la petite enfance permettra de mener de front, et de façon sereine, sa vie parentale et sa vie active."
51,Grand plan national Sport et Santé,"Je propose le remboursement par la Sécurité Sociale  des activités sportives prescrites par un médecin pour les patients atteints d’une affection de longue durée (diabète, cancer, maladies cardio-vasculaires, obésité…) Je développerai l’accès au sport au travail, dans le privé et le public. J’encouragerai ainsi les comportements bénéfiques de nos concitoyens pour combattre les maladies chroniques."
52,Responsabilité des dirigeants d’entreprises,"Je créerai un statut des dirigeant.e.s de grandes entreprises afin de moraliser les pratiques : prohibition des rémunérations dépourvues de lien avec l’amélioration des résultats au cours de leur mandat, prohibition des stock options, fin des retraites chapeaux en cas de démission ou de perte de confiance du conseil d’administration. Je rendrai les dirigeant.e.s responsables en cas de pratiques managériales sources de souffrance avérée au travail."
53,Reconnaissance du droit à la déconnexion pour tous.tes,"Je reconnaîtrai le droit à la déconnexion effectif et pour tous.tes pour améliorer le bien-être au travail. Smartphones et ordinateurs sont devenus des « laisses électroniques ». Le mal-être au travail peut gagner le domicile. Il devient difficile de distinguer le temps du travail de celui de la vie personnelle, il faut donc de nouvelles règles pour protéger les salariés"
54,Un impôt unique sur le patrimoine net des dettes,"Je créerai un impôt unique sur le patrimoine, simple, et progressif. Il sera net des dettes pour éviter que celui qui s’est endetté soit aussi taxé que celui qui a tout reçu en héritage. Il comprendra notamment la taxe foncière et l’ISF. Les ménages français possèdent en 2016 plus de 10 000 milliards d’euros de patrimoine (net de dettes) mais la répartition de ce patrimoine est très inégalitaire. La taxe foncière et l’ISF sont aujourd’hui trop complexes, créent des distorsions et les ménages les plus aisés arrivent à les éviter."
55,Garantie d’un meilleur accès aux données publiques,"Je mènerai une politique d’open data et de transparence des données publiques. Je garantirai un large accès du public aux données conservées et traitées par les administrations publiques. Les citoyens, chercheurs et journalistes doivent connaître les données qui déterminent des choix politiques. Ces données peuvent être utilisées par les entreprises du numérique pour proposer de nouveaux services innovants. Je veillerai à ce que ces données ne soient pas appropriées par les GAFA (Google, Apple, Facebook, Amazon)."
56,Contrôle parlementaire des nominations présidentielles,"Je développerai le contrôle parlementaire sur les grandes décisions présidentielles (nominations dans les autorités indépendantes et certaines grandes entreprises, nominations de directeurs d’administration centrale, de recteurs, d’ambassadeur ou de préfet, autres nominations politiques pourvues en Conseil des Ministres)."
57,Respect de l’égalité salariale femmes-hommes,Je renforcerai les sanctions inscrites dans la loi (1 an d’emprisonnement et 3750 € d’amende) en cas de non respect de l’égalité salariale.
58,Une PAC verte pour accompagner la transition agricole,"Je négocierai au niveau européen pour qu’une partie de la Politique Agricole Commune soit consacrée au financement des agriculteurs prêts à adopter le modèle agroécologique. Ce modèle réduit l’usage des engrais et autres intrants, préserve les ressources naturelles et recourt aux circuits courts notamment."
59,Priorité de l’attribution du foncier agricole aux projets bio ou agroécologiques,"Je modifierai les critères de l’examen des dossiers de reprise d’exploitation afin de favoriser systématiquement les projets en agriculture biologique ou agroécologique. 40% des agriculteurs devraient partir à la retraite d’ici 2020, ils chercheront donc des repreneurs dans les années à venir. Il faut se saisir de ce moment pour engager une conversion de notre agriculture."
60,L’autonomie alimentaire grâce aux circuits courts,"Je favoriserai le développement de cultures maraichères aux abords des villes. Je soutiendrai aussi les associations favorisant les circuits courts comme les AMAP. Une telle mesure permettra de créer de véritables ceintures vertes autour des villes, de favoriser le développement des circuits courts et l’autonomie alimentaire, et donc de réduire la pollution liée aux transports."
61,Lancement d’un plan contre la maltraitance animale,"Je garantirai le respect des plus hautes exigences en matière de bien-être de l’animal, en toutes circonstances, et sans exception. Nos objectifs en matière de qualité de vie et de qualité de l’alimentation ne justifient pas les maltraitances qui se sont multipliées récemment dans les abattoirs, à des seules fins de rendement économique."
62,Vers une harmonisation fiscale en Europe,"Je ferai de l’harmonisation fiscale dans l’Union européenne une priorité. Je me battrai pour une harmonisation de l’assiette et un rapprochement des taux de l’impôt sur les sociétés, pour un taux plafond de la TVA et pour une harmonisation de la lutte contre la fraude et l’évasion fiscale. La France sera à l’initiative de la création d’un nouvel impôt européen sur les GAFA et les multinationales pour augmenter le budget de l’UE et renforcer ses marges de manoeuvre, notamment en termes d’investissements en faveur de la transition énergétique."
63,Pour un syndicalisme renforcé,Je renforcerai l’implication des syndicats dans la prise de décisions stratégiques et je garantirai leur accès exhaustif à l’information. J’encouragerai la syndicalisation par une grande campagne d’information dans les entreprises. Je mettrai en place un chèque syndical pour faciliter la syndicalisation en PME et pouvoir négocier à armes égales.
64,Sortie du budget de la défense des règles européennes de déficit,"J’exclurai le budget de la défense du calcul du déficit au sens des critères de Maastricht. Avec le Brexit, la France sera bientôt le seul pays de l’Union européenne à porter un effort budgétaire significatif en matière de défense. Or la défense française assure notre protection mais aussi celle de l’ensemble des Européens. C’est pourquoi la France ne devrait en aucun cas être pénalisée dans son effort de défense par les règles de gouvernance budgétaire de la zone euro. Dans un contexte où l’Amérique de Trump va se désengager du continent européen, l’UE doit prendre ses responsabilités et se donner les moyens de son autonomie stratégique et opérationnelle. "
65,L’Université au coeur de la méritocratie républicaine,"Je remettrai l’enseignement supérieur au coeur de l’ascension sociale. Son budget sera augmenté d’1 milliard d’euros pour un développement des universités sur les territoires qui soit plus équilibré et pour que chacune et chacun ait accès à un enseignement supérieur de qualité. A ce titre, je veux consacrer autant de moyens aux étudiants des universités qu’aux étudiants des grandes écoles, dans le cadre des COMUE. Je mettrai également en place une politique d’aide à la mobilité des étudiants, notamment en assurant la construction et la réhabilitation de 50 000 logements étudiants sur la mandature."
