,numéro,titre,introduction,mesures
10,11,Une justice au nom du peuple,"La justice est rendue au nom du peuple français. Mais trop souvent, le service public de la justice ne peut assumer cette lourde tâche. Les tribunaux sont en voie de clochardisation, les moyens humains et financiers manquent pour assurer des délais raisonnables ; les justiciables, comme les professionnnels de la justice, sont en droit d'exiger un effort sans précédent.","Garantir la protection judiciaire de la jeunesse, la justice des mineurs, la politique de prévention de la délinquance et les sanctions éducatives. Mettre fin à la paupérisation de la justice et de l'administration pénitentiaireMettre en œuvre un plan de recrutement de personnels pour désengorger les tribunauxRénover et construire de nouveaux locaux pour les tribunauxRecruter 2 000 agents pénitentiaires pour les escortes des détenusMettre fin au tout-carcéral par des peines alternatives à la prison, rénover les prisons pour garantir la dignité humaine, assurer la socialisation des détenus. Mettre en œuvre un plan de recrutement de personnels pour désengorger les tribunaux. Rénover et construire de nouveaux locaux pour les tribunaux. Recruter 2 000 agents pénitentiaires pour les escortes des détenus. Mettre fin au tout-carcéral par des peines alternatives à la prison, rénover les prisons pour garantir la dignité humaine, assurer la socialisation des détenus. Remplacer les instructions ministérielles au Parquet par des lois d'orientation de politique pénale, débattues et votées par le Parlement. Remplacer le Conseil supérieur de la magistrature par un Conseil supérieur de la justice désigné pour partie par les magistrats et le Parlement, devant lequel il sera responsable. Réformer le dualisme juridictionnel en supprimant la fonction juridictionnelle du Conseil d'État et en créant une juridiction suprême commune aux deux ordres de juridictions (fusionnant la Cour de cassation et la fonction juridictionnelle du Conseil d'État)."
11,12,Une politique antiterroriste rationnelle,"La sûreté est un des droits « naturels et imprescriptibles » de l'être humain, selon la Déclaration des droits de l'homme et du citoyen de 1789. Les odieux attentats commis en France en 2015 et 2016 interrogent : comment protéger la population de meurtres terroristes ? Comment garantir notre liberté dans ce contexte ? En la matière, la surenchère sécuritaire ne protège pas, elle affaiblit et fait le jeu des assaillants. C'est une toute autre politique et une stratégie globale qui sont nécessaires pour vivre en paix.","Refuser la logique du choc des civilisations et de la guerre intérieure, sortir des guerres déstabilisatrices et des alliances hypocrites avec les pétromonarchies du Golfe. Améliorer la prévention en engageant une stratégie politique pour renforcer les anticorps républicains et supprimer le terreau des communautarismes par plus de République, de laïcité, d'éducation, de justice sociale et d'implication citoyenne. Refuser la logique de l'exception pour réaffirmer l'État de droitPermettre la sortie de l'état d'urgence à l'initiative du Parlement, état qui ne protège pas mieuxFaire l'évaluation des lois antiterroristes sécuritaires existantesArrêter progressivement les opérations Sentinelle pour confier la sécurité des lieux publics à la policeGarantir le contrôle par le juge judiciaire des opérations de lutte contre le terrorisme et augmenter les moyens de la justice antiterroriste pour garantir une lutte efficace, durable et respectueuse des droits et libertés fondamentaux. Permettre la sortie de l'état d'urgence à l'initiative du Parlement, état qui ne protège pas mieux. Faire l'évaluation des lois antiterroristes sécuritaires existantes. Arrêter progressivement les opérations Sentinelle pour confier la sécurité des lieux publics à la police. Garantir le contrôle par le juge judiciaire des opérations de lutte contre le terrorisme et augmenter les moyens de la justice antiterroriste pour garantir une lutte efficace, durable et respectueuse des droits et libertés fondamentaux. Renforcer le renseignement territorial et humain en revenant sur la fusion de la DST et des RG, en privilégiant l'infiltration par rapport au tout technologique, en renforçant les moyens d'analyse des renseignements collectés, et imposer aux autorités chargées du renseignement de rendre compte devant une commission parlementaire permanente. Lutter contre l'embrigadement et soutenir les démarches de signalement par les proches et les programmes de prise en charge des personnes suspectées. Instaurer une peine de déchéance des droits civiques en cas de fraude fiscale ou d'activités illicites permettant le financement d'activités terroristes, punir les financements des trafics alimentant les réseaux terroristes et réquisitionner les entreprises qui collaborent avec les agresseurs."
12,13,Garantir la sécurité et la sûreté,"La République a besoin d'une justice. Elle a aussi besoin d'une police ; une police républicaine, agissant pour protéger les libertés individuelles et collectives. La politique de sécurité doit être refondée en lien avec la population, par l'intégration des conscrits, loin des coups de menton et du deux poids deux mesures. Objectif : une politique de sûreté publique commençant par le renforcement des services publics.","Refonder la politique de sûreté publique sur la base du tryptique prévention, dissuasion, sanction et réaffirmer son caractère nationalEn finir avec la politique du chiffre et supprimer les primes aux résultats dont les montants seront redistribués progressivement aux différentes catégories d'agentsRestaurer la police de proximité en refondant les objectifs des polices municipales et affirmant la distinction entre les missions nationales et localesFaire l'évaluation des lois sécuritaires, abroger les dispositions inefficaces et renforcer les politiques de préventionDémanteler les BAC qui ne font que du flagrant délit et ne permettent pas d'assurer une bonne relation entre la police et la populationIntégrer au service public certaines fonctions de sécurité aujourd'hui privatisées (sécurité aéroportuaire notamment). En finir avec la politique du chiffre et supprimer les primes aux résultats dont les montants seront redistribués progressivement aux différentes catégories d'agents. Restaurer la police de proximité en refondant les objectifs des polices municipales et affirmant la distinction entre les missions nationales et locales. Faire l'évaluation des lois sécuritaires, abroger les dispositions inefficaces et renforcer les politiques de prévention. Démanteler les BAC qui ne font que du flagrant délit et ne permettent pas d'assurer une bonne relation entre la police et la population. Intégrer au service public certaines fonctions de sécurité aujourd'hui privatisées (sécurité aéroportuaire notamment). Faire la police républicaineEn finir avec la police et la justice à deux vitesses en augmentant nettement les effectifs de police en charge de la délinquance en col blanc en lien avec le fisc, les douanes et la justice financièreDonner la priorité au démantèlement des trafics (drogues, armes, prostitution, êtres humains…) et à la lutte contre la délinquance financière, la corruption et le terrorismeDésencombrer l'action policière par la contraventionnalisation de la consommation de stupéfiants et la légalisation de l'usage du cannabisAméliorer l'accueil du public et diminuer le temps d'attente pour la prise en compte d'une plainte ainsi que les durées d'investigation ensuite, faire évaluer la police avec des questionnaires de satisfaction des usagersApaiser les conflits existants au sein de la police par des instances de dialogue interneRéécrire le code de déontologie et insister sur son importance lors de la formation des forces de police, et rétablir les missions de défense des libertés et de la République supprimées par Manuel Valls en 2014Interdire les Taser et Flash-Ball, ainsi que les grenades de désencerclement pour favoriser la désescalade des affrontements. En finir avec la police et la justice à deux vitesses en augmentant nettement les effectifs de police en charge de la délinquance en col blanc en lien avec le fisc, les douanes et la justice financière. Donner la priorité au démantèlement des trafics (drogues, armes, prostitution, êtres humains…) et à la lutte contre la délinquance financière, la corruption et le terrorisme. Désencombrer l'action policière par la contraventionnalisation de la consommation de stupéfiants et la légalisation de l'usage du cannabis. Améliorer l'accueil du public et diminuer le temps d'attente pour la prise en compte d'une plainte ainsi que les durées d'investigation ensuite, faire évaluer la police avec des questionnaires de satisfaction des usagers. Apaiser les conflits existants au sein de la police par des instances de dialogue interne. Réécrire le code de déontologie et insister sur son importance lors de la formation des forces de police, et rétablir les missions de défense des libertés et de la République supprimées par Manuel Valls en 2014. Interdire les Taser et Flash-Ball, ainsi que les grenades de désencerclement pour favoriser la désescalade des affrontements. Renforcer les moyens humains et matériels des forces de sécurité, en quantité et qualitéMettre en place un plan d'amélioration qualitative de la police et de la gendarmerie
Recruter des agents administratifs pour libérer policiers et gendarmes aptes à aller sur le terrain et qui travaillent sur des postes administratifsRamener les effectifs de policiers et gendarmes à ceux de 2007Doubler les effectifs de la police technique et scientifiqueSupprimer le statut précaire et peu qualifié des 11 000 adjoints de sécurité en permettant la formation et la titularisation de celles et ceux qui le souhaitentPorter à deux ans la durée de formation des élèves gardiens de la paixLancer un plan de rénovation et de construction de commissariats de police pour lutter contre la clochardisation du bâti et l'abandon de certains territoiresDotation des services en moyens techniques et matériels suffisants, renouvellement général du parc informatique sous contrainte de sécurité des échanges. Mettre en place un plan d'amélioration qualitative de la police et de la gendarmerie
Recruter des agents administratifs pour libérer policiers et gendarmes aptes à aller sur le terrain et qui travaillent sur des postes administratifsRamener les effectifs de policiers et gendarmes à ceux de 2007Doubler les effectifs de la police technique et scientifiqueSupprimer le statut précaire et peu qualifié des 11 000 adjoints de sécurité en permettant la formation et la titularisation de celles et ceux qui le souhaitentPorter à deux ans la durée de formation des élèves gardiens de la paix. Recruter des agents administratifs pour libérer policiers et gendarmes aptes à aller sur le terrain et qui travaillent sur des postes administratifs. Ramener les effectifs de policiers et gendarmes à ceux de 2007. Doubler les effectifs de la police technique et scientifique. Supprimer le statut précaire et peu qualifié des 11 000 adjoints de sécurité en permettant la formation et la titularisation de celles et ceux qui le souhaitent. Porter à deux ans la durée de formation des élèves gardiens de la paix. Lancer un plan de rénovation et de construction de commissariats de police pour lutter contre la clochardisation du bâti et l'abandon de certains territoires. Dotation des services en moyens techniques et matériels suffisants, renouvellement général du parc informatique sous contrainte de sécurité des échanges."
13,14,La jeunesse au service de l'intérêt général et de la sûreté de la Nation,"Aujourd'hui, de nombreuses tâches indispensables à la sûreté et à l'intégrité de la Nation ne sont pas assurées. C'est vrai aussi bien du point de vue de la défense et de la sûreté que de l'intégrité écologique, de la solidarité et du secours à la population. Ces préoccupations ne peuvent être abandonnées aux marchands ni aux seuls agents des services concernés. C'est la Nation toute entière qui doit y faire face, pour les tâches civiles comme militaires.","Créer un service citoyen obligatoirePour les femmes et les hommesPar conscription avant 25 ans, proche du lieu de vie, en limitant le casernement aux fonctions qui l'exigent réellementD'une durée totale de neuf mois, comprenant une formation militaire initiale incluant un droit à l'objection de conscienceRémunéré au smicAffecté à des tâches d'intérêt général : secours à la population, sapeurs-pompiers, sécurité publique, défense, sécurité civile, protection et réparation de l'environnement, appui à des associations labellisées d'intérêt généralPrésence sur tout le territoire, y compris les Outre-mer, les zones rurales et les quartiers populairesComprenant un bilan de santé, une évaluation des capacités d'écriture, de lecture et de calcul avec leur éventuelle mise à niveau, la formation gratuite à la conduite et le passage de l'examen du permis de conduire. Pour les femmes et les hommes. Par conscription avant 25 ans, proche du lieu de vie, en limitant le casernement aux fonctions qui l'exigent réellement. D'une durée totale de neuf mois, comprenant une formation militaire initiale incluant un droit à l'objection de conscience. Rémunéré au smic. Affecté à des tâches d'intérêt général : secours à la population, sapeurs-pompiers, sécurité publique, défense, sécurité civile, protection et réparation de l'environnement, appui à des associations labellisées d'intérêt général. Présence sur tout le territoire, y compris les Outre-mer, les zones rurales et les quartiers populaires. Comprenant un bilan de santé, une évaluation des capacités d'écriture, de lecture et de calcul avec leur éventuelle mise à niveau, la formation gratuite à la conduite et le passage de l'examen du permis de conduire. Créer une garde nationale placée sous commandement civil et composéeDes jeunes en service citoyen obligatoire ayant choisi d'intégrer la réserve pour la protection de la sûreté et de l'intégrité de la NationDes unités existantes labellisées : réserve de sécurité nationale, réserve de sécurité civile, réserve citoyenne. Des jeunes en service citoyen obligatoire ayant choisi d'intégrer la réserve pour la protection de la sûreté et de l'intégrité de la Nation. Des unités existantes labellisées : réserve de sécurité nationale, réserve de sécurité civile, réserve citoyenne."
14,15,L'égalité réelle pour les Outre-mer,"Les Outre-mer sont la chance de la France. Ils pourraient être des pointes avancées de la planification écologique et du progrès humain. Au lieu de se développer de manière endogène, ils sont maintenus dans la dépendance d'un système inégalitaire d'économie de comptoir et de pauvreté de masse. La République doit vivre partout et pour tous !","Faire vivre la République, l'égalité, le métissage et le droit du sol contre le racisme et l'ethnicismeAssurer la tenue démocratique du référendum d'autodétermination prévu en Nouvelle-Calédonie en 2018Étendre la laïcité dans les Outre-mer, en appliquant la loi de 1905 là où elle ne l'est pasSoutenir l'enseignement des langues et cultures d'Outre-mer pour ceux qui en font la demande, et mettre en valeur avec les populations la diversité des patrimoines culturels et linguistiques qu'apportent les Outre-mer. Assurer la tenue démocratique du référendum d'autodétermination prévu en Nouvelle-Calédonie en 2018. Étendre la laïcité dans les Outre-mer, en appliquant la loi de 1905 là où elle ne l'est pas. Soutenir l'enseignement des langues et cultures d'Outre-mer pour ceux qui en font la demande, et mettre en valeur avec les populations la diversité des patrimoines culturels et linguistiques qu'apportent les Outre-mer. Faire des Outre-mer des territoires pilotes de la planification écologiqueÉlaborer et mettre en œuvre un plan d'autonomie énergétique de chaque territoire d'Outre-mer à partir des énergies renouvelables disponibles, terrestres (géothermie, solaire, éolien) et marines (éolien, utilisant les différences de températures…)Faire des Outre-mer des territoires pilotes de l'économie de la mer, doter chacun d'eux d'au moins un lycée professionnel maritime et des formations supérieures nécessaires à ce développementPréserver les trésors de biodiversité des Outre-mer (renforcer les moyens d'études et de protection). Élaborer et mettre en œuvre un plan d'autonomie énergétique de chaque territoire d'Outre-mer à partir des énergies renouvelables disponibles, terrestres (géothermie, solaire, éolien) et marines (éolien, utilisant les différences de températures…). Faire des Outre-mer des territoires pilotes de l'économie de la mer, doter chacun d'eux d'au moins un lycée professionnel maritime et des formations supérieures nécessaires à ce développement. Préserver les trésors de biodiversité des Outre-mer (renforcer les moyens d'études et de protection). Assurer l'égalité et la présence de l'ÉtatGarantir la continuité territoriale (desserte de service public à tarifs réglementés), l'interconnexion régionale et le désenclavement intraterritorial (en Guyane notamment)Engager un plan pluriannuel d'investissement et de développement des services publics (transports, éducation, santé, logement, culture)Supprimer les exemptions fiscales bénéficiant aux ultra-riches pour les investissements outre-mer (notamment sur l'ISF). Garantir la continuité territoriale (desserte de service public à tarifs réglementés), l'interconnexion régionale et le désenclavement intraterritorial (en Guyane notamment). Engager un plan pluriannuel d'investissement et de développement des services publics (transports, éducation, santé, logement, culture). Supprimer les exemptions fiscales bénéficiant aux ultra-riches pour les investissements outre-mer (notamment sur l'ISF). Favoriser un développement endogène en rupture avec le modèle actuel d'économie de comptoirLibérer les Outre-mer des monopoles privés et de la captation de la richesse par la rente en développant des circuits de distribution publics et la production en coopérativesProtéger les économies locales par un bouclier douanier : préserver l'octroi de mer et renforcer la protection commerciale des productions locales (taxe kilométrique pour promouvoir les productions locales, privilégier les importations à faible empreinte écologique, préférence commerciale pour les produits d'Outre-mer en métropole et en Europe, partenariats commerciaux équilibrés avec les voisins régionaux)Atteindre l'autosuffisance alimentaire en soutenant le développement d'une agriculture écologique et paysanne et des filières de transformation agro-alimentaire locales. Libérer les Outre-mer des monopoles privés et de la captation de la richesse par la rente en développant des circuits de distribution publics et la production en coopératives. Protéger les économies locales par un bouclier douanier : préserver l'octroi de mer et renforcer la protection commerciale des productions locales (taxe kilométrique pour promouvoir les productions locales, privilégier les importations à faible empreinte écologique, préférence commerciale pour les produits d'Outre-mer en métropole et en Europe, partenariats commerciaux équilibrés avec les voisins régionaux). Atteindre l'autosuffisance alimentaire en soutenant le développement d'une agriculture écologique et paysanne et des filières de transformation agro-alimentaire locales. Faire des Outre-mer des leviers d'alternative à l'échelle mondialeFaire des Outre-mer des pôles régionaux de codéveloppement : transfert de technologie auprès des pays voisins, aide logistique et scientifique, investir dans des établissements de formation de haut niveau (santé) bénéficiant à la fois aux étudiants ultra-marins et à ceux des pays voisinsRejoindre les coopérations régionales dans une démarche de codéveloppement écologique, social et de progrès humain : par exemple l'ALBA pour les Antilles et la Guyane française, l'Afrique australe pour Mayotte et la Réunion, etc.Construire des points d'appui des combats écologiques d'intérêt universel : appui à la préservation des forêts (Guyane pour l'Amazonie) ; appui aux populations du Pacifique et de l'océan Indien menacées par la montée des eaux ; défense des fonds marins contre la prédation pétrolière et la pêche industrielle. Faire des Outre-mer des pôles régionaux de codéveloppement : transfert de technologie auprès des pays voisins, aide logistique et scientifique, investir dans des établissements de formation de haut niveau (santé) bénéficiant à la fois aux étudiants ultra-marins et à ceux des pays voisins. Rejoindre les coopérations régionales dans une démarche de codéveloppement écologique, social et de progrès humain : par exemple l'ALBA pour les Antilles et la Guyane française, l'Afrique australe pour Mayotte et la Réunion, etc.. Construire des points d'appui des combats écologiques d'intérêt universel : appui à la préservation des forêts (Guyane pour l'Amazonie) ; appui aux populations du Pacifique et de l'océan Indien menacées par la montée des eaux ; défense des fonds marins contre la prédation pétrolière et la pêche industrielle."
15,16,Mettre fin au pillage économique de la Nation,"Le règne de l'oligarchie est aussi celui du pillage sans limite ni honte des biens publics. Infrastructures, services publics, fleurons industriels ou technologiques, industries de souveraineté : combien de privatisations à vil prix, de partenariats abusifs, d'argent confisqué, voire détourné ? L'intérêt général doit être défendu et protégé de ses adversaires par la loi et la justice.","Créer une mission parlementaire spéciale pour faire le bilan de toutes les privatisations et faveurs fiscales décidées au cours des trois décennies passées. Revenir sur les programmes de privatisation (aéroports, autoroutes, parts publiques, etc.). Décrêter un moratoire sur les partenariats public-privé (PPP), abroger les dispositions législatives les permettant et pratiquer un audit de ceux qui sont en cours. Mettre en place une commission d'enquête parlementaire sur le pillage économique et industriel des dernières années (abandons de fleurons comme Alstom, Alcatel, EADS…) et permettre la mise en examen et la détention préventive des suspects. Poursuivre les atteintes aux « éléments essentiels du potentiel scientifique et économique » faisant partie des « intérêts fondamentaux de la Nation », selon l'article 410-1 du Code pénal. Rendre effectif le droit de réquisition des entreprises d'intérêt général par l'État."
16,17,Instaurer un protectionnisme solidaire pour produire en France,"L'économie productive et l'emploi sont attaqués. La libre-circulation des capitaux et des marchandises dans l'Union Européenne et le monde entier donne tout pouvoir à la finance contre les productifs, aux multinationales contre les PME, et aux actionnaires contre les salariés. Bilan : des droits sociaux soumis au chantage permanent du dumping, un bilan écologique désastreux, une industrie dévastée, une agriculture désorganisée, des régions entières condamnées. Le grand déménagement du monde doit cesser. Il faut relocaliser les productions. Nous avons besoin d'un protectionnisme solidaire au service de l'intérêt général contre les multinationales et la mondialisation financière. La défense de notre souveraineté industrielle est une condition indispensable à la fondation de nouvelles coopérations internationales.","Faire l'inventaire et l'évaluation des accords déjà appliqués pour construire une autre politique internationale des échanges commerciaux, basée sur la coopération et inspirée de la charte de La Havane, permettant de pratiquer des politiques de protection des droits sociaux et de l'emploi. Adopter des mesures anti-dumping d'urgence sur les industries stratégiques (acier, photovoltaïque…), augmenter immédiatement les droits de douane pour les pays aux droits sociaux limités (travail des enfants, absence de droits syndicaux), prendre des mesures de rétorsion commerciales contre les paradis fiscaux. Imposer le respect de normes sociales et écologiques pour la commercialisation des produits importés en France. Réviser le Code des marchés publics pour favoriser les entreprises de l'économie sociale et solidaire, les produits et services écologiques, l'activité locale."
17,18,Engager un plan de relance de l'activité et de l'emploi au service de la transition écologique,"La bifurcation écologique et la révolution numérique imposent des investissements massifs pour changer les modes de production, d'échange et de consommation. Ce serait un levier formidable pour créer des emplois de qualité et vivre mieux, alors que le chômage atteint un niveau sans précédent. Nicolas Sarkozy et François Hollande ont créé un chômeur de plus toutes les deux minutes depuis dix ans. L'appareil de production français souffre de sous-investissement malgré les milliards d'euros offerts au Médef. Et les infrastructures publiques, tel le réseau ferré, sont abandonnées en silence. Un plan de relance massif est vital à brève échéance.","Injecter 100 milliards d'euros supplémentaires dans l'économie pour des investissements écologiquement et socialement utiles. Transformer les 41 milliards d'euros annuels du pacte de responsabilité et du crédit d'impôt compétitivité (soit 2 % du PIB chaque année, 200 milliards d'euros sur un quinquennat) pour financer la transition énergétique et les activités socialement utiles. Remettre à plat l'ensemble des aides publiques et exonérations d'impôt ou de cotisation accordées aux entreprises, évaluer leur efficacité, et revenir sur les aides antisociales et anti-écologiques. Réindustrialiser le pays par l'investissement, le rétablissement de plans de filières pour coordonner donneurs d'ordres et sous-traitants, clients et fournisseurs (par exemple SNCF et Alstom pour la filière ferroviaire, etc.), la création de pôles publics dans l'énergie ou les transports, la défense des industries stratégiques et la reconstruction de conglomérats combinant plusieurs activités."
18,19,Mettre au pas la finance,La finance a mis par terre l'économie réelle en 2008. Elle devait être « l'adversaire » du président sortant. Elle ne s'est jamais aussi bien portée et les revenus des actionnaires n'ont jamais été aussi élevés en France. Notre pays a le record d'Europe du versement de dividendes ! De nouvelles bulles se forment et menacent d'une déflagration encore plus terrible. Il est plus que temps d'agir !,"Séparer les banques d'affaires et de détail. Contrôler les mouvements de capitaux. Instaurer une taxe réelle sur les transactions financières. Interdire les ventes de gré à gré et la titrisation, plafonner les effets de levier et les rendements actionnariaux exorbitants. Identifier et interdire les produits dérivés toxiques et inutiles au financement ou à la couverture des flux économiques réels. Engager les procédures de recouvrement des 2,2 milliards d'euros d'argent public accordés sans preuve à la Société générale suite à l'affaire Kerviel, évaluer les actes comparables et poursuivre les coupables de ces abus."
19,20,Définanciariser l'économie réelle,"Les financiers étranglent chaque jour les PME et les ménages. Les actionnaires exigent des taux de rendement intenables, obtenus au détriment des droits sociaux et de l'appareil de production. Ils imposent la tyrannie du temps court sur le temps long de l'activité humaine et de l'impératif écologique. Il faut leur reprendre le pouvoir.","Mettre fin à la cotation continue des entreprises en Bourse. Moduler les droits de vote des actionnaires selon la durée d'engagement dans l'entreprise en réservant le droit de vote aux actionnaires acceptant de s'engager sur une durée de présence. Moduler l'impôt sur les sociétés selon l'usage des bénéfices pour encourager l'investissement en France : un taux réduit pour les bénéfices réinvestis en France, un taux plein pour les bénéfices distribués aux actionnaires. Augmenter la mise en réserve légale (aujourd'hui à seulement 5 % des bénéfices) qui oblige l'entreprise à conserver une part de son résultat plutôt que de le distribuer entièrement en dividendes. Interdire aux entreprises de distribuer un montant de dividendes supérieur à leur bénéfice et donc d'emprunter pour distribuer des dividendes. Limiter les LBO aux seules procédures de reprise des entreprises par les salariés (Leveraged Buy Out, mécanisme financier permettant aujourd'hui à quelques actionnaires de faire main basse sur une entreprise)."
20,21,Mobiliser l'argent pour financer les petites et moyennes entreprises et la création d'emploi,"Chaque jour les petites entreprises meurent faute d'être soutenues par les banques. À l'inverse, des milliards d'euros sont perdus sans contrôle ni contrepartie industrielle, sociale ou écologique. Finançons enfin l'économie réelle et les PME, pas les multinationales et les actionnaires !","Créer un pôle public bancaire notamment par la socialisation de banques généralistes, en vue de financer les entreprises et de mener une politique du crédit sur critères sociaux et écologiques. Accorder une licence bancaire à la Banque publique d'investissement dans son ensemble (groupe Bpifrance) pour lui permettre de se financer auprès de la Banque centrale. Financer l'escompte des PME à taux zéro par le pôle financier public. Réserver l'avantage fiscal de l'assurance-vie aux fonds investis en France. Encadrer la sous-traitance et étendre la responsabilité juridique, sociale et écologique des donneurs d'ordre. Créer un fonds de solidarité interentreprises pour mutualiser la contribution sociale entre toutes les entreprises et les groupes pour soulager les PME et assurer la solidarité financière entre donneurs d'ordre et sous-traitants. Il sera financé grâce à une contribution des entreprises selon un barême progressif."
21,22,Protéger et généraliser l'économie sociale et solidaire et l'économie collaborative,"Face à la prédation de la finance et à la dictature des actionnaires, une autre économie est possible ! Elle existe déjà, avec des centaines de milliers d'entreprises et des millions d'emplois. Elle doit être développée et renforcée. La révolution numérique peut être un levier pour de nouvelles activités réellement collaboratives. Mais cela suppose de ne pas laisser le champ libre aux multinationales et aux stratégies lucratives ou d'évasion fiscale qui prévalent aujourd'hui.","Reconnaître un droit de préemption aux salariés pour former une coopérative en cas de fermeture ou de vente de leur entreprise. Généraliser l'économie sociale et solidaire, garantir son accès au financement et aux marchés publics. Encadrer le développement des activités liées à l'économie collaborative pour préserver le caractère de partage et d'utilité sociale contre la privatisation, l'évasion fiscale, la concurrence déloyale et stopper l'ubérisation des activités."
22,23,Empêcher les licenciements boursiers dans l'entreprise pour conserver et développer l'emploi,"Relancer l'économie ne suffira pas à créer des emplois, si les logiques financières continuent de dominer et si les actionnaires continuent d'avoir tous les droits dans la gestion des entreprises. Pour que l'activité économique soit créatrice d'emplois, utile écologiquement et socialement, il est indispensable de donner de nouveaux droits aux salariés et à leurs représentants dans les entreprises.","Interdire les licenciements boursiers. Interdire le versement de dividendes dans les entreprises ayant recours à des licenciements économiques. Accorder un droit de veto suspensif aux comités d'entreprise sur les plans de licenciements, réformer les tribunaux de commerce et les procédures de redressement et liquidation d'entreprise pour donner plus de pouvoirs aux salariés et à leurs représentants, refondre la procédure judiciaire de contestation des licenciements économiques pour qu'ils ne puissent être effectifs avant épuisement des recours. Refonder le recours à la rupture conventionnelle pour empêcher les licenciements déguisés. Garantir et renforcer les pouvoirs de l'Inspection du travail et des instances représentatives de salariés, doubler les effectifs de l'Inspection du travail pour lui permettre d'être plus efficace dans la protection de l'emploi et des salariés, dans la lutte contre la souffrance au travail et dans l'assistance juridique aux PME."
23,24,Abroger la loi El Khomri,"Le mouvement social contre la loi El Khomri a montré combien les luttes sociale et républicaine sont liées. La loi El Khomri a mis fin à la hiérarchie des normes sociales. Désormais, un accord d'entreprise peut s'imposer même si un accord de branche ou la loi sont plus favorables aux salariés. Cela devra être supprimé. C'est la porte ouverte au dumping à l'intérieur d'une même branche entre entreprises et à la régression de tous les droits des salariés. L'accord d'entreprise ne doit primer que s'il est plus favorable aux salariés. Il en va de l'égalité des salariés et de la justice entre les entreprises. Nous rétablirons la hiérarchie des normes sociales et le principe de faveur.",
24,25,"Éradiquer la précarité, respecter les métiers et les travailleurs","85 % des contrats signés sont aujourd'hui des contrats précaires (CDD, intérim, etc.). Sans compter les temps partiels contraints, quasi exclusivement occupés par des femmes, qui ne permettent pas une paye suffisante pour vivre dignement. Cette vision jetable des salariés dévalorise le travail, nie les métiers et les savoir-faire. C'est humainement destructeur et économiquement nuisible.","Réaffirmer dans les faits le CDI comme norme du contrat de travail. Instaurer un quota maximum de contrats précaires dans les entreprises : pas plus de 10 % de contrats précaires dans les PME, pas plus de 5 % de contrats précaires dans les grandes entreprises. Faciliter la requalification en contrat de travail salarié des auto-entrepreneurs à client unique et des collaborateurs exclusifs des plateformes dites collaboratives (Uber…). Lutter contre le temps partiel contraint qui touche 80 % des femmes. Régulariser les travailleurs sans-papiers pour assurer l'égalité sociale entre travailleurs. Titulariser tous les précaires des trois fonctions publiques."
25,26,Construire un nouveau statut protecteur pour les travailleurs : la Sécurité sociale intégrale,"La précarité ne doit pas seulement être stoppée dans l'urgence. Elle doit être éradiquée. La peur du lendemain gangrène tout. Survivre n'est pas vivre. De nombreuses propositions sont sur la table pour construire une nouvelle ère protectrice pour les travailleurs, salariés et non salariés.","Assurer la continuité des droits personnels hors du contrat de travail (droit à la formation, ancienneté, etc.). Garantir la continuité du revenu en cas de perte d'emploi ou de retrait d'activité, dans le cadre d'une Sécurité sociale professionnelle. Établir le droit opposable à l'emploi en faisant de l'État l'employeur en dernier ressort : en cas de chômage de longue durée, l'État doit proposer un emploi au chômeur en lien avec sa qualification, sur une mission d'intérêt général. L'indemnisation par l'allocation chômage se poursuit jusqu'à ce qu'un tel emploi soit proposé par l'État. Refonder le service public de l'emploi en identifiant clairement chacune des missions (conseil et accompagnement ; indemnisation ; orientation et formation professionnelle). Donner la liberté aux artisans, commerçants, indépendants, chefs d'enteprises et auto-entrepreneurs de s'affilier au régime général de la Sécurité sociale plutôt qu'au Régime social des indépendants (RSI)."
26,27,Donner aux jeunes les moyens de leur autonomie,"Les jeunes commencent leur vie par un parcours d'obstacles : difficulté à payer leurs études, à trouver un premier emploi ou à accéder à un logement, etc. Les jeunes des classes populaires sont les plus frappés, mais ils sont loin d'être les seuls concernés. L'autonomie est un droit, l'État doit la rendre possible !","Instaurer une allocation d'autonomie pour les jeunes de 18 à 25 ans, d'une durée de trois ans, sous réserve d'une formation qualifiante et sous condition de ressources. Remplacer les emplois d'avenir par un contrat jeune d'une durée de cinq ans, dans le secteur non marchand et public, ouvrant droit à une formation qualifiante en alternance ou à une préparation aux concours de la fonction publique."
